tnse	tsne2
76.74926	28.331015
64.47408	21.519142
53.08403	-2.470202
57.587936	26.191053
33.930714	73.67444
51.615047	-22.461697
61.7721	-17.953905
83.609505	0.72475195
75.77014	3.0504458
45.946384	4.775851
72.1841	33.36194
74.24287	31.377716
43.72397	-21.654497
76.925156	25.979609
79.04901	19.80258
88.035545	4.0181136
79.10097	22.945602
51.309395	-18.981483
49.88458	-11.354942
35.883987	59.520542
47.895077	3.6053114
82.35524	-10.071756
38.49394	56.970757
59.78025	29.9031
76.83321	25.602253
67.61067	-23.45505
14.636304	15.641251
35.5344	65.96608
37.4084	64.42054
35.272358	68.16691
35.24209	66.54303
100.07001	-8.548157
37.595848	59.14553
66.94627	14.529673
50.09856	3.7144725
37.25667	57.0295
36.604797	59.008987
63.94318	20.348518
75.08121	27.948744
99.87242	-5.15768
78.45451	23.842178
71.42823	5.078399
25.268848	-65.02922
-7.274812	-0.16800353
12.99886	-74.92609
-62.97383	56.956367
7.8448296	32.395462
42.94691	15.093755
-0.64714015	50.67037
7.1803813	-43.65317
6.394432	-1.7348633
-17.45915	73.14286
-17.459785	73.14304
-41.629856	29.55837
-36.83125	4.044322
46.118378	32.391163
50.82438	33.265232
-50.174736	-51.03701
-8.62727	20.281849
-51.042473	-1.074714
-50.7208	0.47463587
-8.627245	20.281775
-11.666136	16.494452
15.205009	-3.0262542
-44.419773	31.413408
-70.988235	49.961052
-70.988235	49.961052
-68.44323	19.667788
-24.268827	71.49856
-27.124504	50.725338
-30.053738	60.67936
-15.948034	71.85673
-24.269009	71.49849
-27.124504	50.725338
-39.98585	-51.156494
-64.66955	63.296673
-68.34646	55.68919
-17.824865	38.14494
-17.824568	38.14429
-68.34646	55.68919
-67.440636	56.30886
14.368616	32.232742
-35.86151	54.536015
-18.803291	14.416947
-22.483582	7.077386
8.757935	15.337772
-53.79488	61.226234
-34.147995	69.067444
-48.343136	26.110907
-34.075375	69.03868
-71.13005	48.651535
9.328828	-26.247545
-71.13005	48.65158
-17.476355	-71.24568
-4.8047843	69.95114
10.417259	-2.2880213
-44.624027	55.596363
-44.513958	55.140587
-15.893286	33.44212
12.95004	12.606015
-28.040064	67.81255
-47.959194	-51.783314
-14.378159	72.04623
-59.172787	53.250698
-59.173763	53.363846
-26.879875	-18.244978
-14.378159	72.04623
-33.644802	-1.355123
30.40216	36.92822
30.439972	36.894695
-53.02672	25.978115
-39.715187	66.46002
-53.02683	25.97803
-35.53569	70.749245
-39.715256	66.45994
-51.133354	62.43458
-71.2009	42.89434
-18.569721	15.648117
24.867104	-14.799897
5.589347	15.042552
-18.569721	15.648117
-33.22214	57.741726
-31.850098	16.681488
-33.22229	57.74166
-33.77941	71.00879
-31.91464	16.032143
-31.850088	16.68143
-10.21249	73.15121
-10.21249	73.15121
-39.653267	66.72218
-1.5230544	22.252964
-66.095894	44.227802
-66.095894	44.227802
-12.0345955	72.43126
5.6499104	13.387494
-12.034151	72.43238
12.433247	33.337505
-31.72447	62.154537
15.773017	-3.6399398
-58.754578	53.10341
26.578293	-65.42974
-41.663914	67.58632
-40.49178	67.57061
-51.862206	24.172606
-16.435715	71.8328
-29.160627	40.58988
-44.567772	33.06703
-45.18717	26.242018
-24.841246	12.128149
-24.841204	12.128134
19.583792	-51.621864
-49.13909	-12.59278
-21.064322	-78.99832
-19.788538	-6.4335957
-16.57753	26.98982
5.862882	7.6927094
17.852234	-55.11123
-42.946793	-35.11581
-33.379433	49.476395
17.53354	-40.71738
-6.6377664	26.17173
14.41139	-48.073032
-64.04134	27.304092
22.31507	-63.106274
-68.63512	51.84666
-50.28148	-51.107643
-13.517016	-45.109406
-33.574192	70.82493
-68.63437	51.845978
49.658123	31.965372
-36.26145	72.52832
-50.28148	-51.107643
20.218082	-48.89506
-13.517099	-45.109467
-21.030502	-79.26444
-21.030792	-79.26427
-52.292557	26.670115
-66.169945	56.544373
3.5310297	-72.892525
-67.02515	56.441475
-66.169945	56.544373
18.23135	-40.691803
0.851084	-39.55873
50.487865	32.774315
-4.670347	-36.345604
14.769534	38.919514
-22.376522	-58.80101
-11.457645	16.469542
-54.298073	57.139454
-11.457577	16.469423
-15.244208	66.04087
-34.793346	62.725197
-71.357635	52.211006
-20.009289	69.92725
-71.357635	52.211006
-65.163216	59.159027
-46.47534	0.99136627
-56.24796	49.63415
-19.022024	38.53455
-31.860884	62.02439
-19.022053	38.5347
28.707453	38.477806
14.250459	-52.06237
27.774767	-52.59739
45.26896	2.906013
-34.4697	-60.125633
10.909284	16.685743
26.53232	-53.57442
28.918652	-62.249283
30.81561	37.358105
-66.2185	53.802475
-66.21906	53.802486
1.9508384	-73.99127
-72.40295	53.261303
-72.40295	53.261303
-27.881676	40.26513
-30.02896	60.585102
19.709707	-40.620514
15.978857	-4.169404
-43.175644	-37.121357
-72.085724	53.225906
-63.86227	56.20799
-72.08587	53.225822
-12.239614	5.357026
15.346417	15.308915
-17.621346	38.521385
45.510014	31.969212
45.49984	31.835186
-17.621359	38.521236
45.510014	31.969212
45.4998	31.834982
-45.164665	17.852453
-45.164753	17.852285
-33.678078	70.76577
-71.32377	40.85115
-71.36824	40.86998
-71.36824	40.86998
-71.32377	40.85115
-68.19236	61.28523
31.76368	-62.14823
49.848957	32.08251
-9.439017	72.96089
-9.438709	72.96061
-34.999077	64.15784
-6.735492	48.509598
-41.475662	25.677942
-41.491608	25.659868
-9.570734	57.29342
-9.579841	57.407845
-51.048798	22.476038
-41.09368	24.890387
19.449411	-4.434464
-39.2585	-32.310402
